polygon group,polygon id,vertice id,x,y
crystals_0,50,0,161.25,39.25
crystals_0,50,1,164.25,39.25
crystals_0,50,2,164.25,42.25
crystals_0,50,3,161.25,42.25
crystals_0,51,0,165.0,31.75
crystals_0,51,1,168.0,31.75
crystals_0,51,2,168.0,34.75
crystals_0,51,3,165.0,34.75
crystals_0,52,0,165.0,37.75
crystals_0,52,1,168.0,37.75
crystals_0,52,2,168.0,40.75
crystals_0,52,3,165.0,40.75
crystals_0,53,0,168.75,32.5
crystals_0,53,1,171.75,32.5
crystals_0,53,2,171.75,35.5
crystals_0,53,3,168.75,35.5
crystals_0,54,0,168.75,37.0
crystals_0,54,1,171.75,37.0
crystals_0,54,2,171.75,40.0
crystals_0,54,3,168.75,40.0
crystals_0,55,0,172.5,34.75
crystals_0,55,1,175.5,34.75
crystals_0,55,2,175.5,37.75
crystals_0,55,3,172.5,37.75
crystals_0,56,0,161.25,15.25
crystals_0,56,1,164.25,15.25
crystals_0,56,2,164.25,18.25
crystals_0,56,3,161.25,18.25
crystals_0,57,0,161.25,24.25
crystals_0,57,1,164.25,24.25
crystals_0,57,2,164.25,27.25
crystals_0,57,3,161.25,27.25
crystals_0,58,0,165.0,16.75
crystals_0,58,1,168.0,16.75
crystals_0,58,2,168.0,19.75
crystals_0,58,3,165.0,19.75
crystals_0,59,0,165.0,22.75
crystals_0,59,1,168.0,22.75
crystals_0,59,2,168.0,25.75
crystals_0,59,3,165.0,25.75
crystals_0,60,0,168.75,17.5
crystals_0,60,1,171.75,17.5
crystals_0,60,2,171.75,20.5
crystals_0,60,3,168.75,20.5
crystals_0,61,0,168.75,22.0
crystals_0,61,1,171.75,22.0
crystals_0,61,2,171.75,25.0
crystals_0,61,3,168.75,25.0
crystals_0,62,0,172.5,19.75
crystals_0,62,1,175.5,19.75
crystals_0,62,2,175.5,22.75
crystals_0,62,3,172.5,22.75
plate_1,0,0,126.67561340332031,91.40861511230469
plate_1,0,1,127.67561340332031,93.14067077636719
plate_1,0,2,120.5309066772461,97.26567077636719
plate_1,0,3,119.5309066772461,95.53361511230469
plate_1,1,0,116.06680297851562,97.53361511230469
plate_1,1,1,117.06680297851562,99.26567077636719
plate_1,1,2,107.54052734375,104.76567077636719
plate_1,1,3,106.54052734375,103.03361511230469
plate_1,2,0,103.07642364501953,105.03361511230469
plate_1,2,1,104.07642364501953,106.76567077636719
plate_1,2,2,94.5501480102539,112.26567077636719
plate_1,2,3,93.5501480102539,110.53361511230469
plate_1,3,0,90.08604431152344,112.53361511230469
plate_1,3,1,91.08604431152344,114.26567077636719
plate_1,3,2,81.55976867675781,119.76567077636719
plate_1,3,3,80.55976867675781,118.03361511230469
plate_1,4,0,77.09566497802734,120.03361511230469
plate_1,4,1,78.09566497802734,121.76567077636719
plate_1,4,2,68.56938171386719,127.26567077636719
